Sikhadenge SEO / AEO / GEO Operating Workbook,,,,,,,,,
,,,,,,,,,
URL,Skill Category,Primary Keyword,Page Type,Intent,Status,Keep / Merge / Update,Current Rank,Last Updated,Notes
/ai-ad-creative-workflows,AI,ai ad creative workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-analytics-workflows,AI,ai analytics workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-assistant-preview,AI,ai assistant preview,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-automation-strategy-workflows,AI,ai automation strategy workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-automation-workflows,AI,ai automation workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-brand-strategy-workflows,AI,ai brand strategy workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-business-workflows,AI,ai business workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-career-paths,AI,ai career paths,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-client-workflows,AI,ai client workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-community-management-workflows,AI,ai community management workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-content-planning-workflows,AI,ai content planning workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-content-repurposing-workflows,AI,ai content repurposing workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-content-workflows,AI,ai content workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-copywriting-workflows,AI,ai copywriting workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-course-creation-workflows,AI,ai course creation workflows,Workflow Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-creator-workflows,AI,ai creator workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-customer-support-workflows,AI,ai customer support workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-design-workflows,AI,ai design workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-earning-for-beginners,AI,ai earning for beginners,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-earning-for-students,AI,ai earning for students,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-earning-from-home,AI,ai earning from home,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-earning-without-coding,AI,ai earning without coding,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-earning-without-investment,AI,ai earning without investment,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-email-marketing-workflows,AI,ai email marketing workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-expert,AI,ai expert,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-freelance-workflows,AI,ai freelance workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-freelancing-income-guide,AI,ai freelancing income guide,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-generalist,AI,ai generalist,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-growth-preview,AI,ai growth preview,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-jobs-without-coding,AI,ai jobs without coding,Landing Page,Informational,Live,Update,,,Imported from clean route list
/ai-lead-generation-workflows,AI,ai lead generation workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-learning-workflows,AI,ai learning workflows,Workflow Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-marketing-strategy-workflows,AI,ai marketing strategy workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-marketing-workflows,AI,ai marketing workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-masterclass,AI,ai masterclass,Landing Page,Commercial,Live,Keep,,,Imported from clean route list
/ai-operations-workflows,AI,ai operations workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-passive-income-ideas,AI,ai passive income ideas,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-product-design-workflows,AI,ai product design workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-product-management-workflows,AI,ai product management workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-productivity-tools,AI,ai productivity tools,Tool Page,Informational,Live,Update,,,Imported from clean route list
/ai-productivity-workflows,AI,ai productivity workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-project-management-workflows,AI,ai project management workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-prompt-workflows,AI,ai prompt workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-research-workflows,AI,ai research workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-sales-workflows,AI,ai sales workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-seo-workflows,AI,ai seo workflows,Workflow Page,Informational,Live,Keep,,,Imported from clean route list
/ai-side-hustle-ideas,AI,ai side hustle ideas,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills,AI,ai skills,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-agencies,AI,ai skills for agencies,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-beginners,AI,ai skills for beginners,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-business,AI,ai skills for business,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-career-growth,AI,ai skills for career growth,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-client-work,AI,ai skills for client work,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-coaches,AI,ai skills for coaches,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-college-students,AI,ai skills for college students,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-community-builders,AI,ai skills for community builders,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-consultants,AI,ai skills for consultants,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-content-creators,AI,ai skills for content creators,Landing Page,Informational,Live,Keep,,,Imported from clean route list
/ai-skills-for-course-creators,AI,ai skills for course creators,Landing Page,Informational,Live,Keep,,,Imported from clean route list
